furniture-10030001,かぼちゃクマさん
furniture-10005708,ターミナル-空港のテレビ
furniture-20005708,観たい番組が流れることはまずないが、制限があるからこそ楽しめることもある。
furniture-10005709,ターミナル-空港広告
furniture-20005709,あなたが飛行機に乗ったのは、ワクワクでいっぱいの旅行に行くため？それとも傷心旅行に行くのかな？はたまた無味乾燥な仕事のため？でも目的だけじゃなくて、そこまでの過程にも目を向けてね？では、快適で楽しい空の旅を！
furniture-10005710,ターミナル-空港映像広告
furniture-20005710,お土産を買いましょう！あなたがここに来たってだけじゃ誰も喜んではくれませんよ？！写真をあげたって仕方ないでしょ？
furniture-10005711,ターミナル-フライト案内表示器
furniture-20005711,この便はどこへ向かうのだろうか。あの便に乗ってる人たちは何をしに行くのだろうか。我々とは無関係な事柄で、世界は成り立っている。
furniture-10005712,ターミナル-空港内案内標識
furniture-20005712,他人の経験とはこの標識と似ており、ただ一つの方向を指し示してくれるだけで、そこまでの距離を教えてくれはしない。だから目的地に無事到着することもあるけど、トイレに突き当たる可能性の方が高い。
furniture-10005713,ターミナル-自動手荷物預け機
furniture-20005713,危険物の持ち込みは禁止されています。射幸心の本質とは、己の都合しか考えないことにある。
furniture-10005714,ターミナル-空港のイス
furniture-20005714,時期尚早だと我々は考えがちだが、時間が経つのはいつも早いものだ。それはこれから乗る飛行機かもしれないし、自身に巡り来る転換点かもしれない。
furniture-10046010,
furniture-20046010,
furniture-10046011,
furniture-20046011,
furniture-10046012,
furniture-20046012,
furniture-10046013,
furniture-20046013,
furniture-10046020,
furniture-20046020,
furniture-10046021,
furniture-20046021,
furniture-10046022,
furniture-20046022,
furniture-10046023,
furniture-20046023,
furniture-10046030,
furniture-20046030,
furniture-10046031,
furniture-20046031,
furniture-10046032,
furniture-20046032,
furniture-10046033,
furniture-20046033,
furniture-10040052,
furniture-20040052,フロア
furniture-10040053,
furniture-20040053,壁紙
furniture-10040054,
furniture-20040054,
furniture-10040055,
furniture-20040055,
furniture-10040056,
furniture-20040056,
furniture-10002019,秩序乱流-ST AR-15
furniture-20002019,「任務中にあんたを偶然見つけただけ。」
furniture-10002020,秩序乱流-416
furniture-20002020,「あんたたちにしろ、グリフィンにしろ、ずっと誰かの後ろについていくわけにはいかない。」
furniture-10002021,秩序乱流-M4 SOPMOD II
furniture-20002021,「わたしは、仲間のために、あんたの想像もつかないことをしたんだよ。」
furniture-10002022,秩序乱流-UMP45
furniture-20002022,「はは……なら安心して待ってなさい……」
furniture-10002023,コーラップス液ボンベ
furniture-20002023,人間は生身で汚染エリアに入れないからこそ、人形技術が発展された。これは歴史の一部であり、現実の一部でもある。
furniture-10002024,重装部隊陳列ケース
furniture-20002024,戦いは新たなる局面へと突入し、前世紀の軽火力兵器では我々の戦争を担いきれなくなった。これからの正義は、より邪悪な側に属するのだ。
furniture-10005801,ビーチタイクーン-ビーチの野外フロア
furniture-20005801,太陽の光と海からの風がフロアの上の海水や砂は解決してくれるだろう。しかしたばこの吸い殻、こいつだけは我々が解決するしかないんだ。……拳でね。
furniture-10005802,ビーチタイクーン-大空と岩礁
furniture-20005802,岩礁は天に枕し、体を海に浸して、まさに自由闊達。ならば、天空と大海の違いとは創世記よりあったのか、人が知恵を持つことで出来たのか。
furniture-10005804,ビーチタイクーン-いなびかりネコのだいぼうけん
furniture-20005804,トンネルの中を滑っているほんの少しの間だけ、キミはIDWさんのいない世界を体験できる。
furniture-10005805,ビーチタイクーン-カモメたちの魔法
furniture-20005805,海鳥と魚は互いを愛し合うことはない。もし彼らが本当にそのような賢さを持っていたら、きっと人間の愛を笑ったでしょうね。
furniture-10005806,ビーチタイクーン-イルカチャレンジパラダイス
furniture-20005806,複雑な遊具の設置は、利用客が一体何を遊んだのかを分からなくさせるという事態を引き起こしがちだ。……チャレンジとはつまりこのことを指している。
furniture-10005807,ビーチタイクーン-深海に続く階段（児童向け）
furniture-20005807,これが続く場所は、海でもなければ、深くもない。もっと言うのなら、階段ですらない。だけど聞こえがいいじゃない？……「人間の愛」みたいにね。
furniture-10005808,ビーチタイクーン-カジキの案内板
furniture-20005808,観察していて分かったことがある。おそらくだがカジキは人間より賢い。なぜならカジキのトーテムが無いと、利用客の多くはレストランとトイレにたどり着くことすらままならないのだから。
furniture-10005809,ビーチタイクーン-波しぶきホバークラフト
furniture-20005809,人間と同じで、中に空気がある限り走ることを止めない。もしかすると彼の心にも二、三人生設計なるものがあるのかもね。
furniture-10005810,ビーチタイクーン-ビーチの王座
furniture-20005810,休憩する権利を有する者が、より高貴な存在であることは、ビーチにあっても宮殿にあっても変わることはない。これがまさに椅子とリーダーの意味なのだ。
furniture-10005811,ビーチタイクーン-BBQですよ！
furniture-20005811,海でするBBQより気持ちのいいことがあるかだって？……そりゃあもちろん、海に来たってのにカップ麺をすすってるヤツらの隣でするBBQさ！
furniture-10005812,ビーチタイクーン-大陸間移動戦艦（児童向け）
furniture-20005812,キミはあの戦いがどれだけ激しかったか知らないだろう。なぜならホバークラフトはいかなる痕跡も決して残さないからだ。まるで恐竜が絶滅して幾億年の過ぎ去った地表のように。
furniture-10005813,ビーチタイクーン-わにさんのプール
furniture-20005813,わにさんにはセンサーがあって、30分も上に寝っ転がっていると、自動でくるくる回転するようになっているんだ！安心してお昼寝もさせてくれない悪いわにさんなんだね！
furniture-10050901,
furniture-20050901,
furniture-10002016,祭り太鼓
furniture-20002016,響き渡る太鼓の音を聞いて、気持ちが昂らないことがあろうか。バチを情熱に満ち溢れた人形に渡すと、或いは太鼓の奥底に眠る魂を呼び覚ましてくれさえするかもしれない。
furniture-10002017,お神輿
furniture-20002017,きらびやかで壮大なお神輿がクライマックスに登場し、夏の思い出作りもこれでばっちり。にしても、こんな大切な役目を機械に任せて、本当に大丈夫なのかな。果たして神様は我々の知恵と汗水、どちらを好むのだろうか。
furniture-10002018,祭り柴犬
furniture-20002018,嬉しそうに尻尾を振っているのは、花火大会で興奮しているわけではなく、あなたがそばにいてあげているからだよ。
furniture-10040057,
furniture-20040057,フロア
furniture-10040058,
furniture-20040058,壁紙
furniture-10040059,
furniture-20040059,
furniture-10100001,
furniture-20100001,
furniture-10100002,
furniture-20100002,
furniture-10100003,
furniture-20100003,
furniture-10100004,
furniture-20100004,
furniture-10110001,
furniture-20110001,
furniture-10110002,
furniture-20110002,
furniture-10110003,
furniture-20110003,
furniture-10110004,
furniture-20110004,
furniture-10100005,
furniture-20100005,
furniture-10100006,
furniture-20100006,
furniture-10040060,
furniture-20040060,
furniture-10040061,
furniture-20040061,
furniture-10040062,
furniture-20040062,
furniture-10040063,
furniture-20040063,
furniture-10040064,
furniture-20040064,
furniture-10040065,
furniture-20040065,
furniture-10040066,
furniture-20040066,
furniture-10040067,
furniture-20040067,
furniture-10005901,ミュージックフェス-ホールのフロア
furniture-20005901,星空は足の下に広がっていて、虹は頭の上にかかってる。幾千とある詩と音楽は、ワタシの理性がこの本性を受け止めるためだけにある。
furniture-10005902,ミュージックフェス-ステージの背景
furniture-20005902,あれはみな自我を追い求めんばかりに、何か別の集団になり下がった我ら。
furniture-10005903,ミュージックフェス-カウンターチェア
furniture-20005903,スツールが高いのは高いカウンターに合わせるため、そしてカウンターが高いのはバーテンダーのため。サービス業ってのは、一体誰へのサービスなんでしょうね？
furniture-10005904,ミュージックフェス-ライブステージ
furniture-20005904,思うに、ロックがクラシックに比べ、観衆をより熱狂的にさせる理由の一つは、観衆はステージの下から仰ぎ見ることしかできないからではないのだろうか。
furniture-10005905,ミュージックフェス-ステージライト
furniture-20005905,ライトは蝋燭よりも献身的だと思う。みんなは彼には一瞥もくれないけれど、彼は他人を照らすことにずっと徹しているし。
furniture-10005906,ミュージックフェス-スポットライト
furniture-20005906,暗くなんかないのに、人工の光がいくらまぶしくたって、何の意味もないでしょ？
furniture-10005907,ミュージックフェス-ステージのゲート
furniture-20005907,このゲートをくぐって君の最高の姿を見せつけろ！あるいは最悪の姿かもしれないけど……とにかく君自身じゃなけりゃ大丈夫！
furniture-10005908,ミュージックフェス-ステージのファン
furniture-20005908,自分の人生を誰かの心と重ね合わせるよりかは、誰かのうたと重ね合わせたほうが安全だといえる。
furniture-10005909,ミュージックフェス-シャンパンタワー
furniture-20005909,文明とは整備された秩序の無駄遣い、祝福とは精巧に作られた体面の盲信。
furniture-10005910,ミュージックフェス-小型バーカウンター
furniture-20005910,貴方の人生と貴方の物語は別の物なの、前者は貴方のグラスに注がれているもので、後者は彼のグラスに注がれているもの。
furniture-10005911,ミュージックフェス-ホールのチェア(右)
furniture-20005911,この世の中、座ったままロックのライブを聞き終えることほどイカれたこともない。
furniture-10005912,ミュージックフェス-ホールのチェア(左)
furniture-20005912,この世の中、座ったままロックのライブを聞き終えることほどイカれたこともない。
furniture-10005913,ミュージックフェス-ホールのテーブル
furniture-20005913,灯火はスピリッツに火をつけ、音楽はこの世を横行する。僕たちはどれだけ自分自身を嫌いになれば、世界が本当の姿を見せてくれるのだろうか。
furniture-10002025,
furniture-20002025,
furniture-10002026,最も親しい友
furniture-20002026,町を行き交う人々を観察しても、結局生きている人間も白骨死体もなんら変わりないという結論にたどり着く。お互いがお互いを自身のほうがより生命力に溢れているように見せるための対比程度にしか思っていないのなら、みんな一緒にhappy at homeでも悪くないのでは？
furniture-10002027,おばけサイクリング
furniture-20002027,この月に向かう自転車が残された最後の兵蟻を連れ去ろうとも、心はまだそこに残っているだろう。来年のハロウィンになれば、同じようにその心をもってはるばるやってくる友人を迎え入れられるはずだ。
furniture-10002028,ゾンビキャット
furniture-20002028,ハロウィン前夜に送られてきた不思議なペット。光に当てないこと、水につけないこと、夜半にエサを与えないことが飼い主たちの間では常識となっているが、その理由を尋ねられても、送られてきた際にこのペットが入っていたケージに書かれていたとしか答えられない。
furniture-10006001,
furniture-20006001,
furniture-10006002,
furniture-20006002,
furniture-10006003,
furniture-20006003,
furniture-10006004,
furniture-20006004,
furniture-10006005,
furniture-20006005,
furniture-10006006,
furniture-20006006,
furniture-10006007,
furniture-20006007,
furniture-10006008,
furniture-20006008,
furniture-10006009,
furniture-20006009,
furniture-10006010,
furniture-20006010,
furniture-10006011,
furniture-20006011,
furniture-10006012,
furniture-20006012,
furniture-10006013,
furniture-20006013,
furniture-10006014,
furniture-20006014,
furniture-10006015,
furniture-20006015,
furniture-10006101,
furniture-20006101,
furniture-10006102,
furniture-20006102,
furniture-10006103,
furniture-20006103,
furniture-10006104,
furniture-20006104,
furniture-10006105,
furniture-20006105,
furniture-10006106,
furniture-20006106,
furniture-10006107,
furniture-20006107,
furniture-10006108,
furniture-20006108,
furniture-10006109,
furniture-20006109,
furniture-10006110,
furniture-20006110,
furniture-10006111,
furniture-20006111,
furniture-10006112,
furniture-20006112,
furniture-10006113,
furniture-20006113,
furniture-10006114,
furniture-20006114,
furniture-10006115,
furniture-20006115,
furniture-10006116,
furniture-20006116,
furniture-10006117,
furniture-20006117,
furniture-10006118,
furniture-20006118,
furniture-10006201,アイドル活動-ステージフロア
furniture-20006201,誰がセンターに立てるかは――10％は投票、20％は悲惨な過去、そして30％は今日のMVPかで決まり、99％は指揮官の好感度で決まる。
furniture-10006202,アイドル活動-蛍火の街
furniture-20006202,今夜の街は、ステージほど眩しくなく……住民の生活を妨げることもない。
furniture-10006203,アイドル活動-ライブ応援
furniture-20006203,みんなー！手を高く挙げてー♡顔が遮られるくらいまで！
furniture-10006204,アイドル活動-月光通り
furniture-20006204,床が開閉できる仕様になっており、間違ったマスを踏んだアイドルはその場で魚の餌にされる。
furniture-10006205,アイドル活動-レインボーステップ
furniture-20006205,人形の上り下りに合わせ、内蔵されているライトが高速で変化する。暇な時間になると、メンタルモデルのスピードテストとして人形によく使われる。「光速を超えていけ！」
furniture-10006206,アイドル活動-舞台人形
furniture-20006206,余ったダミーのメンタルモデルを改造して作られた。5歳児のIQ相当のメッセージであれば送ったり処理することができる。「ドウカ、ワタシノウタヲモチカエッテ」。
furniture-10006207,アイドル活動-クローズアップスクリーン
furniture-20006207,アイドルに心を寄せたとして、スクリーンに映る彼女たちは私達の心を汲み取ってくれるのだろうか？
furniture-10006208,アイドル活動-吊物装置
furniture-20006208,本人が使いたがるかは別として、アイドルを空中で回転させたりと、夢のような舞台演出を可能にしてくれる代物である。
furniture-10006209,アイドル活動-キャットウォーク
furniture-20006209,通常は二番目のサビが流れる時に使われるものだが、ロケットの打ち上げやダイビング、スライディングなどにも転用可能。
furniture-10006210,アイドル活動-審査員席
furniture-20006210,「歌に上手い下手はなく、夢に間違いや正解なんてない」。PAとバックバンドにとっては、同意しがたいことであるが。
furniture-10006211,アイドル活動-メインスクリーン
furniture-20006211,中央が空中ディスプレイになっており、その間をアイドルは行き来することができる。もちろん、ダンス中にこっそり抜け出すことだって……
furniture-10006212,アイドル活動-ステージカメラ
furniture-20006212,記録される映像の一秒一秒全てが一番美しい瞬間であることをアイドルたちは願っているが、時としてあられもない姿が映ってしまうことは周知の事実である。
furniture-10006213,アイドル活動-プロンプター
furniture-20006213,歌詞や音程がわからなくなっても問題ナシ。内臓された無線発信装置が瞬時に人形達にデータを送ってくれるのだ。
furniture-10006214,アイドル活動-舞台照明
furniture-20006214,アイドル達をきらめかせるついでにモジュールの充電まで可能。「目覚めろRETURNER！」
furniture-10006215,アイドル活動-舞台音響
furniture-20006215,画面からでは、歌っているのが現実の人形なのか、それとも仮想の人形なのかが判別できない。だからこそ人はライブへと赴くのだ。
furniture-10051001,
furniture-20051001,
furniture-10051002,
furniture-20051002,
furniture-10006301,
furniture-20006301,
furniture-10006302,
furniture-20006302,
furniture-10006303,
furniture-20006303,
furniture-10006304,
furniture-20006304,
furniture-10006305,
furniture-20006305,
furniture-10006306,
furniture-20006306,
furniture-10006307,
furniture-20006307,
furniture-10006308,
furniture-20006308,
furniture-10006309,
furniture-20006309,
furniture-10006310,
furniture-20006310,
furniture-10006311,
furniture-20006311,
furniture-10006312,
furniture-20006312,
furniture-10006313,
furniture-20006313,
furniture-10006314,
furniture-20006314,
furniture-10002029,
furniture-20002029,
furniture-10002030,
furniture-20002030,
furniture-10002031,クリスマスネコ
furniture-20002031,
furniture-10051101,
furniture-20051101,
furniture-10051102,
furniture-20051102,
furniture-10006401,新年の神社-神社の境内
furniture-20006401,境内の願い事は、神社にやってくる時は、みんなが柴犬と同じように裸足になること。隔たりがないに越したことはないから。
furniture-10006402,新年の神社-新年の空
furniture-20006402,空の願い事は三つ。自分の背を低くすること、飛行機がもっと高くを飛べるようになること、そうしてもっと世界に近づけること。
furniture-10006403,新年の神社-賀正の餅花
furniture-20006403,賀正の餅花の願い事は、本物の花火みたいに刹那に散ること。そうすれば、来年まで出番もなく休めるから。
furniture-10006404,新年の神社-迎春の餅花
furniture-20006404,迎春の餅花の願い事は、春がいつまでも訪れないこと。そうすれば、永遠とそこに飾られ続け、みんなに祈りを捧げられるから。
furniture-10006405,新年の神社-新年の門松
furniture-20006405,門松の願い事は、来世はもう少し醜く生まれること。そうすれば、人間に伐採されてこんな風にここで飾られることもなくなるから。
furniture-10006406,新年の神社-絵馬掛
furniture-20006406,絵馬掛の願い事は、他人の絵馬に描かれた願いが遮られることなく、みんなが正しく絵馬を掛けてくれること。
furniture-10006407,新年の神社-道祖神
furniture-20006407,神様たちの願い事は、先週雪の中で傘をさしてくれていた女の子の正体を知ること。もう少し降り続いてくれても良かったのに…。
furniture-10006408,新年の神社-みくじ掛
furniture-20006408,みくじ掛の願い事は、【凶】は乗り越えるべき壁だと万人が認識してくれること。運に恵まれすぎると、転んだ際の傷も一層深くなる。
furniture-10006409,新年の神社-さざれ石
furniture-20006409,さざれ石の願い事は、しめ縄がもう少し緩めに巻かれること。皆の祝福を取り込みすぎて、徐々に太りつつあるから。
furniture-10006410,新年の神社-座布団
furniture-20006410,座布団の願い事は、昨日の父親が再び息子を連れてここを訪ね、冒険物語の結末を語り終えること。
furniture-10006411,新年の神社-神社の塀（左）
furniture-20006411,神社の塀の願いはただ一つ。いつの日か振り返って、自分がずっと守ってきた神様が一体どんな姿をしているのかその目で拝むこと。
furniture-10006412,新年の神社-神社の塀（右）
furniture-20006412,神社の塀の願いはただ一つ。いつの日か振り返って、自分がずっと守ってきた神様が一体どんな姿をしているのかその目で拝むこと。
furniture-10006413,新年の神社-舞殿
furniture-20006413,舞殿の願い事は、いつか喋られるようになったら、数百年と神様に捧げられてきた舞楽の中で、一番気に入ったのがどの……巫女なのか伝えること。
furniture-10006414,新年の神社-摂社
furniture-20006414,摂社の願い事は、十分に資金が集まった段階で転出し、よりたくさんの信仰を自身に向けること。
furniture-10006415,新年の神社-拝殿
furniture-20006415,拝殿の願い事は、ここを訪れた人がずっと自分の願い事を諦めないこと。……あなたが今している事より、したい事のほうが本当のあなたを映し出してくれるから。
furniture-10006501,
furniture-20006501,
furniture-10006502,
furniture-20006502,
furniture-10006503,
furniture-20006503,
furniture-10006504,
furniture-20006504,
furniture-10006505,
furniture-20006505,
furniture-10006506,
furniture-20006506,
furniture-10006507,
furniture-20006507,
furniture-10006508,
furniture-20006508,
furniture-10006509,
furniture-20006509,
furniture-10006510,
furniture-20006510,
furniture-10006511,
furniture-20006511,
furniture-10006512,
furniture-20006512,
furniture-10006513,
furniture-20006513,
furniture-10006514,
furniture-20006514,
furniture-10051201,
furniture-20051201,
furniture-10051202,
furniture-20051202,
furniture-10002032,ブルーベリーナイトとワインテーブル
furniture-20002032,「あのレストランのマスターはワインセラーのワイン全てに鍵をこさえていてね、その鍵の一つ一つにラブストーリーが隠されているんだ。私はあそこでワインを飲んだ時に、それはそれは美しい、あの物語を聞いたのさ。」これは去年のホワイトデーの晩、ここに座っていた人形の語った思い出話。
furniture-10002033,十日物語の四不像
furniture-20002033,旧世界のある大家族の幸せな夫婦が残した巨大な四不像のハンティングトロフィー。言い伝えでは、十本の蝋燭に同時に火を灯すと、二人の仲をより親密にしてくれる神秘的なパワーが出るそうである。「君はこういったのって信じる方？」「まさか、いっぱいお話したり、相手をたくさん思いやる以外、仲をよくするのにどんな方法があるっていうの？」日々のこの家具の清掃を担当する人形はこう言い捨てた。
furniture-10002034,ラブレター特急伝書鳩
furniture-20002034,例え、メッセージをすぐさま相手に送れる現代だとしても、ラブレターを専門として運ぶ特殊な鳩の飼育、育成にこだわる人は依然として存在する。「データやら電波やらはあまりにも脆弱だ。消えてしまったら後には何も残らなくなる。」匿名希望の飼い主はこう言い放った。
furniture-10002035,
furniture-20002035,
furniture-10002036,
furniture-20002036,
furniture-10006601,チョコレート総裁-純白の床
furniture-20006601,この床、ホワイトチョコレートで出来てるから入るときは靴を脱いでからね――ストッキングは構わないけど……ねぇ、これってあなたのアイディアなの？指揮官。
furniture-10006602,チョコレート総裁-風雨都市
furniture-20006602,"君のためなら世界だって捨ててみせる"――広告なんてのはみんな嘘だ。世界を愛せずして、一人だけを愛することなどできようか。
furniture-10006603,チョコレート総裁-ショーケース
furniture-20006603,ご購入後はできるだけ早めにお召し上がりください、夜は待ってくれませんので。あなたかチョコレート、どちらが先に溶けるか分かりませんよ。
furniture-10006604,チョコレート総裁-レジカウンター
furniture-20006604,金色の商品券はお持ちでしょうか？……あら？銀色のですか？では定価の2倍をいただきます。それと、ここで起きたことは忘れてもらいますね！
furniture-10006605,チョコレート総裁-カカオ豆粉砕装置
furniture-20006605,見よ！私たちのカカオ豆に対するこの優雅で繊細な扱いを。粗野な奴らを追い払ってこそ、世界中のカカオ豆は幸せを得られるんだ。
furniture-10006606,チョコレート総裁-本部のドア
furniture-20006606,部屋一面のチョコレートか、それとも壁一面のチョコレートか――開けるまではわからない。
furniture-10006607,チョコレート総裁-お菓子の噴水
furniture-20006607,「実はケーキはクッキーを嫌っていて、チョコもロリポップキャンディを嫌っているのでは」。こう考えた者はいるか？いるはずがない！だってどう見たって平和そうじゃないか。
furniture-10006608,チョコレート総裁-スイーツチェア
furniture-20006608,ルールは簡単。そいつを15分以内に完食した者のみに座る資格が与えられるのさ。
furniture-10006609,チョコレート総裁-製造機械
furniture-20006609,チョコレート作りとは錬金術の儀式である。心から愛する者がこれを食べれば永遠の命を得られよう――終末を乗り越えた消費者はどんな広告も信じてしまう。
furniture-10006610,チョコレート総裁-クマさん
furniture-20006610,君たちが いかに食べるか 悩む間に 熊も思議する 己がいる意義――//n溶けないうちに早く食べたほうがいいよ。
furniture-10006611,チョコレート総裁-作業台
furniture-20006611,チョコレートを作るにはたくさんのハートが必要である――私が言ってるのは"ハート"の抜き型であって、本当のハートそのものじゃないの。冷めないうちにとっととそれを戻しなさい。
furniture-10006612,チョコレート総裁-グッズ棚
furniture-20006612,チョコレート以外にも色んなグッズを売ってるけど、全部食べられるとは限らないよ？なんなら全部買って、一つ一つ齧ってみるかい？
furniture-10006613,チョコレート総裁-あまあまネオンサイン
furniture-20006613,「なんて差別的な言葉なんだ！」。ネオンサインに記された文字を見て、路地裏の犬はこう評した。
furniture-10051301,魔法の化粧台
furniture-20051301,極限まで極めた技術はもはや魔法と相違ない。自分を美しく変化させる魔法を拒める人形はおらず、みな一度座ったらなかなか立ち上がれない。
furniture-10051302,ハニーセレクト
furniture-20051302,人生に運命などあらず、あるのはただ一つ一つの選択のみ。時には選びたくない選択を迫られるときもあるだろうが……全てを選ぶこともまた、一つの選択なのだろう。
furniture-10006701,フェアリーマーケット-中世のタイル
furniture-20006701,薬のにおいがする方へ足を進めると、錬金術師がいた。「仕方がない、お前の仲間になってやろう。でないとこの町の全員に私がここの鶏に何をしてたのかがばれてしまうからな。」
furniture-10006702,フェアリーマーケット-夕闇色の森
furniture-20006702,伝説の魔女が住まう森。彼女と友達になりたい？一日だけだとしても？「私は絶対にアンタのことを気に入るさ、その健康な体もね……」
furniture-10006703,フェアリーマーケット-射的場
furniture-20006703,射手が仲間入りするための条件は、射撃で彼女に勝つこと。「これは精霊たちのおきてで定められたこと、でも私を雇って矢をいらせることもまた……おきてでは許されている……」彼女は肩をすくめた。
furniture-10006704,フェアリーマーケット-幽霊たちの古城
furniture-20006704,裏切り者の女吸血鬼はここで495年の眠りについていた。「この美容法効果抜群ね！」これは眠りから覚めた彼女が自身の華奢で愛くるしい身体を見て放った言葉。
furniture-10006705,フェアリーマーケット-王城の篝火
furniture-20006705,死ぬことを許されない鎧かぶとが時たま隣に座ることがある。彼は火の玉を両手に持ち、かぶとの空洞からあなたを見つめる。「ネズミを、大きなネズミをくれ......この盾とでも私とでも交換してやる......」
furniture-10006706,フェアリーマーケット-移動酒場
furniture-20006706,「酒が多ければ多いほど兵士は増え、兵士が多ければ多いほど勝ち戦は増える。 だから戦に勝つか負けるかは、お前がこれをどこまで持ってこれるかにかかっている―—俺がここの酒を飲みつくす前にだがな。」
furniture-10006707,フェアリーマーケット-民家
furniture-20006707,吟遊詩人は屋根に寝転がり、リュートを奏でている。「わが友はこの上で寝るように死んでいった。君が私も同じように死ねると保証してくれるのであれば、仲間になろう。」
furniture-10006708,フェアリーマーケット-住宅街
furniture-20006708,アイツはいつも屋根の上を走っているか、草むらで口笛を吹いている。「すまない、私の鷹が君がピカピカ光っていると言っていてね。確かめる必要があるんだ、君が仲間なのか、敵なのかを。」
furniture-10006709,フェアリーマーケット-奇跡の噴水
furniture-20006709,聞いたところによると、この噴水は心からの祈りをささげた信者を癒すことができるそうな。だけど、牧師が一人隅っこでひっそりと奇跡を起こしていたところを君は見てしまった。「本当に私を連れてもっと意味のあることができるんだろうね？」
furniture-10006710,フェアリーマーケット-骨董品屋
furniture-20006710,珍品には何の用もなくとも、ここの店長のコネに興味があるのであれば、「この指輪を買ったら、その盗賊の居場所を教えてやろう。ネックレスも買うんだったら、私が仲間になってやろう。」
furniture-10006711,フェアリーマーケット-武器屋
furniture-20006711,鋭利さだけを言えば、ここの武器はまさに至高の品だが、いかんせん壊れてばかり。ここの商人曰く「またのご来店をお待ちしております―—こいつぁ冗談なんかじゃございませんよ。」
furniture-10006712,フェアリーマーケット-雲と月
furniture-20006712,この月は偽物。かの魔法使いはこの月を使って、眠気を操ったり、彼女のお節介焼きのお姉さんをだましてみたり。「今だったら好きにお出かけできるわよ。で、さっき竜が何匹いるって言ってたっけ？」
furniture-10006713,フェアリーマーケット-雑貨売り場
furniture-20006713,「ここに並んでるものはみんな正規の手段で手に入れたものだけだよ、死体から盗ったものなわけないだろう？」魔法使いは笑いながら言った。「……そりゃ勿論、起きていれば死体とは言えないからな。」
furniture-10006714,フェアリーマーケット-町の鐘楼
furniture-20006714,聖騎士は町を救ったが、鐘楼の前で愛する人との再会を果たせなかったため、昇格を諦めついてくることになった。「これでいい。奴は金がすきらしいが、それ以上に私は今の自分がすきだ」
furniture-10002037,
furniture-20002037,
furniture-10006801,
furniture-20006801,
furniture-10006802,
furniture-20006802,
furniture-10006803,
furniture-20006803,
furniture-10006804,
furniture-20006804,
furniture-10006805,
furniture-20006805,
furniture-10006806,
furniture-20006806,
furniture-10006807,
furniture-20006807,
furniture-10006808,
furniture-20006808,
furniture-10006809,
furniture-20006809,
furniture-10006810,
furniture-20006810,
furniture-10006811,
furniture-20006811,
furniture-10006812,
furniture-20006812,
furniture-10006813,
furniture-20006813,
furniture-10006814,
furniture-20006814,
furniture-10051401,
furniture-20051401,
furniture-10051402,
furniture-20051402,
furniture-10006901,ジルのアパート-古びたフロア
furniture-20006901,防湿で滑り止め加工もなされており、あらゆる点において優れたフロア。たまに床がギシギシと鳴るのは、中に住む老人を労わってほしいという合図に違いない。
furniture-10006902,ジルのアパート-壁紙
furniture-20006902,シンプルな色合いの壁紙。部屋の他の家具を引き立てるために生まれてきたとはいえ、壁の隅に自分だけの花模様を作り出すことを忘れてはいない。
furniture-10006903,ジルのアパート-キラ☆ミキのぼり
furniture-20006903,キラ☆ミキのサシモノ（戦旗）。これであなたも熱狂的ファン。
furniture-10006904,ジルのアパート-ボスのタペストリー
furniture-20006904,「BESTBOSS」という文字列がすべてを物語っている。
furniture-10006905,ジルのアパート-メガクリスマスツリー
furniture-20006905,もともとお粗末だったが、企業の思惑でさらにお粗末になったイベントを祝おう。
furniture-10006906,ジルのアパート-こたつ
furniture-20006906,両側にクッションが設置された捕獲系トラップで、こたつテーブルとセットで威力を発揮する廃人製造機。電球を口に入れないのと同じように、下半身をこたつに入れるべからず。
furniture-10006907,ジルのアパート-ひび割れダルマ
furniture-20006907,ボロボロになった日本のおみやげ。褪せた魅力がある。
furniture-10006908,ジルのアパート-ライト
furniture-20006908,柔らかい電球色の光を放つライト。たとえ一人暮らしでも、暖かさや温もりといったものを錯覚させる効果をもつ。
furniture-10006909,ジルのアパート-PC-9X
furniture-20006909,年代物のゲーム機。どうしようもなく長いロード時間にイライラしよう！
furniture-10006910,ジルのアパート-テレビ
furniture-20006910,テレビなのか、はたまた生活音を提供するためのスピーカーなのか。使用者が何を望むかによってそれは決まる。
furniture-10006911,ジルのアパート-ポスター
furniture-20006911,お堅い警察ドキュメンタリー風フィクション映画のポスターと、カワイ子たんポスターを並べて張ったらおかしい？少なくてもこの世界では、そんなことない。
furniture-10006912,ジルのアパート-ホロ植物
furniture-20006912,鉢植えされた本物の植物を偲んで。
furniture-10006913,ジルのアパート-フィギュアセット
furniture-20006913,上の階の住人は有名人らしいが、階下に住む人々は、熱狂的なファンが通路を塞いだりしなければ、上に住んでるのが誰であろうとどうでもいいらしい。
furniture-10006914,ジルのアパート-ジョーカーサイクロン
furniture-20006914,物騒な名前とは裏腹に、ただの扇風機。扇風機はいいぞ。最高にいいぞ。
furniture-10006915,ジルのアパート-ベランダ
furniture-20006915,もし本物のベランダならば、ドアを開けて外の夜風を浴びられるし、運が良ければそこまで濁っていない空気を吸うこともできる。
furniture-10006916,ジルのアパート-カートリッジ詰め合わせ
furniture-20006916,コレクターでも欲しがらないようなゲームの詰め合わせ。棚の肥やしに。
furniture-10006917,ジルのアパート-提灯
