furniture-10030001,Pumpkin Mishka
furniture-10007207,Moon Rubbing - Third Quarter Moon
furniture-20007207,"An ancient rubbing discovered at the campsite outside the city ruins. It reveals the last-known whereabouts of the patriotic dual-wielding warrior as the legendary kingdom fell. The stamp is a triangle pointing to the northeast. Specific meaning to be determined."
furniture-10007208,Moon Rubbing - New Moon
furniture-20007208,"An ancient rubbing discovered at the Demon Hunter Guild HQ. It recounts the tragedy of a female demon hunter who turned into a demon herself due to obsession and ended up being killed by the one she loved. The stamp is a square. Specific meaning to be determined."
furniture-10002043,
furniture-20002043,
furniture-10002044,
furniture-20002044,
furniture-10002045,
furniture-20002045,
furniture-10002046,
furniture-20002046,
furniture-10002047,
furniture-20002047,
furniture-10002048,
furniture-20002048,
furniture-10003115,
furniture-20003115,
furniture-10007401,
furniture-20007401,
furniture-10007402,
furniture-20007402,
furniture-10007403,
furniture-20007403,
furniture-10007404,
furniture-20007404,
furniture-10007405,
furniture-20007405,
furniture-10007406,
furniture-20007406,
furniture-10007407,
furniture-20007407,
furniture-10007408,
furniture-20007408,
furniture-10007409,
furniture-20007409,
furniture-10007410,
furniture-20007410,
furniture-10007411,
furniture-20007411,
furniture-10007412,
furniture-20007412,
furniture-10007413,
furniture-20007413,
furniture-10007501,
furniture-20007501,
furniture-10007502,
furniture-20007502,
furniture-10007503,
furniture-20007503,
furniture-10007504,
furniture-20007504,
furniture-10007505,
furniture-20007505,
furniture-10007506,
furniture-20007506,
furniture-10007507,
furniture-20007507,
furniture-10007508,
furniture-20007508,
furniture-10007509,
furniture-20007509,
furniture-10007510,
furniture-20007510,
furniture-10007511,
furniture-20007511,
furniture-10007512,
furniture-20007512,
furniture-10007513,
furniture-20007513,
furniture-10007514,
furniture-20007514,
furniture-10002049,Sweet Treatment Table
furniture-20002049,Hop on//c lie down//c and enjoy this heavenly sweet treatment table. Don't make the nurses chase your shadow around in the maze anymore. That's too much unlike a gentleman.
furniture-10002050,Tender Encounter
furniture-20002050,Nobody knows who put this TV here or when it showed up. Perhaps it may just be an illusion or a sweet dream//c but you're convinced that you'll see the beautiful face of a girl crawling out of the TV.
furniture-10002051,Undead Musician Dog
furniture-20002051,Some stories will always be shared across generations. Whether it's a white-haired bard or a hooded//c vagrant musician telling the stories at night//c please listen quietly to their performance//c even if they're a skeleton pug.
furniture-10007601,Nightmare in Room 1408 - Raven Black Floorboard
furniture-20007601,"The floor in this entire department is painted an oppressive//c dark color. I can't shake the feeling that there's some brown stuff caked between the gaps..."
furniture-10007602,Nightmare in Room 1408 - Otherworld
furniture-20007602,"The moment I started going up the stairs//c everything has changed//c but nothing has changed//c as if I've crossed into the Otherworld - a parallel or non-parallel plane of existence..."
furniture-10007603,Nightmare in Room 1408 - Sofa of Recount
furniture-20007603,"The exquisite doll spent the whole night telling me stories about her former owner. Whenever it got to an emotional part//c the portrait of the former owner started weeping blood..."
furniture-10007604,Nightmare in Room 1408 - Forbidden Elevator
furniture-20007604,"An elevator that has been out of service for years//c but some strange hands have clawed open a gap tonight. Thank goodness they won't drag me in asdfghjkl;"
furniture-10007605,Nightmare in Room 1408 - Overloaded Elevator
furniture-20007605,"No matter how long I wait//c the elevator display keeps saying it's overloaded. Having run out of patience//c I take a peek through the gap...but see only red..."
furniture-10007606,Nightmare in Room 1408 - Swaying Chandelier
furniture-20007606,"There's no wind//c but the chandelier keeps swaying back and forth. I hope it won't fall on me..."
furniture-10007607,Nightmare in Room 1408 - Remote-Controlled Tricycle
furniture-20007607,"A tricycle that keeps running back and forth. The person remote controlling it must be a cute kid. Wait...it doesn't have batteries..."
furniture-10007608,Nightmare in Room 1408 - Chef of Midnight Snack
furniture-20007608,"It's just past midnight//c and this enthusiastic chef has been pestering me about supper//c but I'm honestly not hungry..."
furniture-10007609,Nightmare in Room 1408 - Hide-and-Seek Desk
furniture-20007609,"Heh//c kiddo hiding underneath the desk//c was it you who typed several dozen pages worth of 'All work and no play makes Jack a dull boy" on the back of my manuscript?"
furniture-10007610,Nightmare in Room 1408 - Meeting at Sunset
furniture-20007610,"My food delivery is finally here! That's weird. Why are they coming through the window? This is the 14th floor//c right..."
furniture-10007611,Nightmare in Room 1408 - Masked Maintenance Workers
furniture-20007611,"They claimed to be here to repair the elevator but seemed extremely suspicious. I was just about to make a phone call to verify their identity when I discovered that the phone cable had already been..."
furniture-10007612,Nightmare in Room 1408 - Clown Chair
furniture-20007612,"I finally managed to find some sweets//c but the child waiting for me by the chair is gone//c leaving only a solitary balloon..."
furniture-10007613,Nightmare in Room 1408 - Bloody Wall of Sighs
furniture-20007613,"The wall is filled with portraits of beautiful young ladies//c but the bitter cries and trickling blood make it look like a bad idea to get any closer..."
furniture-10007614,Nightmare in Room 1408 - Stairs Cleaner
furniture-20007614,"She uses her own body as a rag just to clean the stairs. I'm amazed by the quality of service in this apartment block..."
furniture-10051601,"Shall we play a game?"
furniture-20051601,"...Sis? Don't be afriad. There's so much I can do. I can protect you. I can even... Heheh//c shall we play a game?"
furniture-10051602,Space Gentledog
furniture-20051602,"I. Super star dancer. Gold farming." "Kalina?! The dog translator you just bought really does work! ...Wait//c no! Come and see what kind of scary stuff this dog translator just said!"
furniture-10003116,
furniture-20003116,
furniture-10003117,
furniture-20003117,
furniture-10007701,
furniture-20007701,
furniture-10007702,
furniture-20007702,
furniture-10007703,
furniture-20007703,
furniture-10007704,
furniture-20007704,
furniture-10007705,
furniture-20007705,
furniture-10007706,
furniture-20007706,
furniture-10007707,
furniture-20007707,
furniture-10007708,
furniture-20007708,
furniture-10007709,
furniture-20007709,
furniture-10007710,
furniture-20007710,
furniture-10007711,
furniture-20007711,
furniture-10007712,
furniture-20007712,
furniture-10007713,
furniture-20007713,
furniture-10002052,X'mas Reindinergate
furniture-20002052,Look//c it's Santa Claus and his reindeer! Strange//c why are an old grandpa and a deer chasing after them?
furniture-10002053,Dream X'mas Tree
furniture-20002053,May every child find the gift they desire from this tree.
furniture-10002054,Santa Shepherd Dog
furniture-20002054,Woof woof woof! Open up//c express delivery for you!
furniture-10007801,S.F. X'mas Eve - Snowflake Floor
furniture-20007801,While temperature change only has a temporary effect on this marble floor with snowflake patterns//c it would cause real snow to melt. "Is this why you're standing on top of me//c mourning for snow that has melted?"
furniture-10007802,S.F. X'mas Eve - Silent Woods
furniture-20007802,When Dolls perceive beauty from nature//c surely they also sense a certain loneliness. "Please learn from that star and don't disturb the pine trees' dreams."
furniture-10007803,S.F. X'mas Eve - Reindeer that Doesn't Roar
furniture-20007803,This Roarer has been abandoned//c but it isn't depressed at all. "I can still be the shield that protects the children who decorate me."
furniture-10007804,S.F. X'mas Eve - Ice Fishing Stool
furniture-20007804,Neither Dolls nor dinergates need to fish for a living//c but they still enjoy it as a hobby. A certain dinergate believes that the Griffin demon that it's seen before would say//c "I'm trying to prove that inflicting pain and taking lives aren't prerogatives of carbon-based lifeforms."
furniture-10007805,S.F. X'mas Eve - Simulated Ice Fishing Hole
furniture-20007805,When there's what looks like an explorable entrance on the ground//c someone is bound to try and see what's inside - even if it's completely empty. "Stop digging! This is a fake water surface created with resin! Don't you speak Drift Ice?"
furniture-10007806,S.F. X'mas Eve - Dinergate's Masterpiece
furniture-20007806,Humans build snowmen//c dinergates build snowergates. All intelligent beings enjoy creating things in their own image to alleviate their loneliness. "According to a story written by humans//c if I show it enough love//c it'll start playing with me!"
furniture-10007807,S.F. X'mas Eve - Boom Gate with Red Light
furniture-20007807,Despite not knowing why humans insist on using this barrier that can't really stop anything as a kind of warning//c the S.F. Dolls still honor the tradition and let it do its job. "I know what I'm guarding doesn't matter anymore//c but that's not an excuse to leave my post."
furniture-10007808,S.F. X'mas Eve - Argo Covered in Snow
furniture-20007808,When there's no war//c weapons lose their purpose. Still//c it looks pretty happy - "It's too cold. Let me take a good rest here."
furniture-10007809,S.F. X'mas Eve - Twisted Wire Fence
furniture-20007809,The wire fence stands there stubbornly even though it can't stop truly dangerous enemies. "As long as I can sound the alarm to warn everyone//c I'm doing my job."
furniture-10007810,S.F. X'mas Eve - X'mas Tree in Transit
furniture-20007810,The moment the tree gets chopped down//c it knows it's going to die soon. So it asks the dinergates//c "All trees must die. Could you please return me to the forest after you finish using me? I still want to see the snow next year."
furniture-10007811,S.F. X'mas Eve - Snowy Pine Trees
furniture-20007811,The pine trees invited a star to sit on the treetop to guide lost Dolls home. "Hush//c don't tell the star that we're awake. It looks beautiful in its confidence."
furniture-10007812,S.F. X'mas Eve - Restored Junk Heap
furniture-20007812,An ordinary heap of junk that also serves as a trash can when it isn't snowing. But why is Architect laughing so gleefully? "Haha//c look! Even the love letter some human wrote to Intruder is replicated here!"
furniture-10007813,S.F. X'mas Eve - Illuminated Fence
furniture-20007813,Destroyer//c who never wears night-vision goggles//c always crashes into the fence. The pine tree believes that tragedy can be averted simply by having a light installed. It doesn't mind the brightness too much. "Someone has to stay awake and watch over others' sweet dreams."
furniture-10007901,Sleepless City – Sturdy Tiles
furniture-20007901,Due to his obsession with the human foot//c he maintains a horizontal position for years and years//c but sometimes he just has to stand up for a bit because of the temperature difference.
furniture-10007902,Sleepless City - Miko of the Night
furniture-20007902,She still doesn't understand why people stop calling her Goddess of the Day after she don the vestments of night and neon lights.
furniture-10007903,Sleepless City - River of Mirrors
furniture-20007903,Boats are the ornaments in her hair//c the river is her visage. So divine does she look under the lights//c all cameras without night mode feel like dying of shame.
furniture-10007904,Sleepless City - Master of Order
furniture-20007904,"I control human traffic in this area to make sure my beloved children don't feel too pressured." as it always says.
furniture-10007905,Sleepless City - Mother of Takoyaki
furniture-20007905,Neither the painful birth that comes with the burning sensation nor the predestined farewell can tarnish the joy she feels as she creates more Takoyaki.
furniture-10007906,Sleepless City - Buildings of Happiness
furniture-20007906,Feel free to ask her for anything you need – you don't have to worry about being rejected. She will grant all your wishes – if you pay.
furniture-10007907,Sleepless City - Hotbed of Culture
furniture-20007907,It's a proven fact that bright things attract crowds – doesn't matter if they're advertizing happy candies or some kind of behavioral art.
furniture-10007908,Sleepless City - Mercurial Skyscrapers
furniture-20007908,The plethora of signboards aren't necessarily beautiful//c but they can certainly show you the way to become beautiful. Wanna know why? Shop at IOP Cosmetics!
furniture-10007909,Sleepless City - Origins Plateau
furniture-20007909,Sometimes being bald isn't a bad thing. You can live forever on a signboard//c showing your lost successors the way with your shiny head.
furniture-10007910,Sleepless City - Guiding Light
furniture-20007910,Every streetlight that's scared of the dark is burning itself in defiance of the night.
furniture-10007911,Sleepless City - Father of Ramen
furniture-20007911,"All journeys//c no matter how long//c will eventually come to an end. What you must do is make yourselves more valuable when it ends!" so he teaches every single bowl of ramen he cooks.
furniture-10007912,Sleepless City - Bench of Temporary Refuge
furniture-20007912,He warmly welcomes everything of the past to stay on him//c be it people//c dust//c or rain that has fallen from the sky.
furniture-10007913,Sleepless City - Measurer of Time
furniture-20007913,It marks the passage of time//c minding its own business//c unaffected by its surroundings. "Really?" the batteries sneer. 
furniture-10007914,Sleepless City - Non–Omnipotent Wishing Machine
furniture-20007914,She believes one should always get their money's worth//c unless her stock is empty.
furniture-10008001,Snowy Yard - Dark Brick Tiles
furniture-20008001,People will hear a light cracking sound as they walk on this surface//c as if the snow and the rocks are whispering to each other - though it's just the effect of thermal expansion.
furniture-10008002,Snowy Yard - Radiant Snow Tower
furniture-20008002,Snow is the most beautiful when viewed indoors. You can enjoy its unblemished purity without being in the cold. The same goes for humans.
furniture-10008003,Snowy Yard - Long-Lived Pine Tree
furniture-20008003,It believes the trees are so tall these days because youngsters are getting better nutrients.
furniture-10008004,Snowy Yard - Moon Pond
furniture-20008004,The water is smooth as a mirror without a single speck. You can do anything you think is elegant and refined here - as long as you don't mind the cold.
furniture-10008005,Snowy Yard - Pavilion
furniture-20008005,"This construction looks like the projector of a Fairy drone..." say the Dolls//c who are falling over each other to get a photo in it.
furniture-10008006,Snowy Yard - Buds in Fresh Snow
furniture-20008006,The rocks carefully form a circle to protect the young buds from the sudden blizzard. Still//c children are often tougher than you'd think.
furniture-10008007,Snowy Yard - White Marble Stool
furniture-20008007,It stands primly on the ground//c pretending there's no graffiti drawn by naughty kids on its belly.
furniture-10008008,Snowy Yard - Bare Hydrangea Tree
furniture-20008008,The tree feels a bit chilly near its crown//c but that doesn't make it doubt that spring is only slightly late.
furniture-10008009,Snowy Yard - Veranda of Echoing Footsteps
furniture-20008009,You can sneak up here and watch the plants grow rampantly when they think no one's looking - just like how your homeroom teacher watched you.
furniture-10008010,Snowy Yard - Stone Stool with "Treatise on Superfluous Things"
furniture-20008010,If people don't seek to verify things//c they'll never be able to differentiate between genuine and contrived refinement - as just how you won't realize this book is merely a manga wrapped in the cover of an ancient tome if you don't flip through it.
furniture-10008011,Snowy Yard - Stone Table with Chess Endgame
furniture-20008011,QBU-88//c I know you mean well//c but could you please not reset the chessboard while the Commander and I are halfway through a game? —XM8
furniture-10008012,Snowy Yard - Strange Holey Rock
furniture-20008012,"Constant dripping wears away the stone. Be persistent//c and you will succeed." Humans point at the rock to teach their young this lesson even though it's actually artificially created with reinforced concrete.
furniture-10008013,Snowy Yard - New Moon Doorway
furniture-20008013,You probably won't see a different view after passing through it//c but perhaps there are those who'll find joy in the passage itself. That's the purpose of an ornamental doorway.
furniture-10007209,416's Counterstrike
furniture-20007209,Legend has it//c if you buy grenades with a certain kind of paint job//c you'll cause the world to be destroyed by a fire-belching monster. This poster is to remind people not to repeat history...
furniture-10007210,Modern Eco-Friendly Seat
furniture-20007210,An eco-friendly idea//c avant-garde design//c unique logos//c special rubb...ahem//c a special seat just for the one-and-only you!
furniture-10007211,Ramen Bathtub
furniture-20007211,A certain designer notices how viewers always comment about wanting a drink whenever a bathtub appears in a video. To satisfy this strange human urge//c this unique bathtub has been made!
furniture-10051701,X'mas Sock Full of Presents
furniture-20051701,A modest-looking X'mas Sock that contains the well wishes and kindness of countless people - "Which makes this a perfectly safe place to hide//c" thinks a certain dinergate infiltrating Griffin. Hopefully it will deliver the presents successfully.
furniture-10051702,Vixen User Manual
furniture-20051702,A manual for "Vixen"//c a mech built especially for Christmas... Even though it can't soar through the sky//c it can still deliver your presents! It's really hardworking!
furniture-10040080,
furniture-20040080,
furniture-10040081,
furniture-20040081,
furniture-10040082,
furniture-20040082,
furniture-10040083,
furniture-20040083,
furniture-10040084,
furniture-20040084,
furniture-10049010,
furniture-20049010,
furniture-10049011,
furniture-20049011,
furniture-10049012,
furniture-20049012,
furniture-10049013,
furniture-20049013,
furniture-10049020,
furniture-20049020,
furniture-10049021,
furniture-20049021,
furniture-10049022,
furniture-20049022,
furniture-10049023,
furniture-20049023,
furniture-10049030,
furniture-20049030,
furniture-10049031,
furniture-20049031,
furniture-10049032,
furniture-20049032,
furniture-10049033,
furniture-20049033,
furniture-10049040,
furniture-20049040,
furniture-10049041,
furniture-20049041,
furniture-10008201,Cathedral Lost - Land of Eternal Vows
furniture-20008201,Once upon a time//c we lay here//c chatting about everything and anything as the gentle morning sun shone upon us. Now//c the grass is lush as ever and the sunshine is still tender//c but you're no longer by my side. 
furniture-10008202,Cathedral Lost - Autumn Woods
furniture-20008202,Countless names are etched onto the tree trunks. The more memorable it was when a name was etched on//c the more painful it felt to scrape it off.
furniture-10008203,Cathedral Lost - Hallowed Ray
furniture-20008203,"I promise to love and cherish you forever//c till death us do part." I've practiced saying this vow thousands of times//c but in the end//c I never managed to say it to you.
furniture-10008204,Cathedral Lost - Unlocking Revelations
furniture-20008204,The end isn't always the end. Take this cathedral as an example. Its tenure as a witness to the joys of newlyweds may be over//c but its days of collecting tears shed by the old have just begun.
furniture-10008205,Cathedral Lost - Moss-Covered Flower Carriage
furniture-20008205,She once said she didn't like roses as she found them clichéd and tacky. Yet on her wedding day//c she smiled so happily riding on someone else's rose carriage...
furniture-10008206,Cathedral Lost - Whispering Ruins
furniture-20008206,Someone once told me that secrets can be buried in tree holes. I couldn't find any tree holes on your wedding day//c so I simply buried what I wanted to say to you in a hole in the corner of the wall. A flower somehow bloomed there a few years later.
furniture-10008207,Cathedral Lost - Angel with Misplaced Arrows
furniture-20008207,The moment I met you//c Cupid drew his bow and shot a golden arrow into my chest. Only after parting with you did I realize that the arrow is still buried deep in my heart...
furniture-10008208,Cathedral Lost - Holy Grail of Serenity
furniture-20008208,Legend has it that the Holy Grail will grant eternal life to whomever finds it and drinks from it. To someone who is all alone in the world like me//c I can think of no crueler punishment.
furniture-10008209,Cathedral Lost - Round Flagstone Patio
furniture-20008209,Round was your lovely smiling face//c the moon I beheld with you//c the hem of your wedding gown... Now round is nothing but this flagstone patio that we once walked over together.
furniture-10008210,Cathedral Lost - Candlelit Pew (Right)
furniture-20008210,"Go if you want. I can get on with my life without you." What I truly wanted to say was//c "Don't go//c please stay."
furniture-10008211,Cathedral Lost - Candlelit Pew (Left)
furniture-20008211,"I'm leaving. I don't have a lot of belongings so I'll set off soon." What I actually wanted to say was//c "Come with me."
furniture-10008212,Cathedral Lost - Crumbling Pillar with Moss
furniture-20008212,One ordinary day//c this pillar collapsed with a mighty crash//c just as how one ordinary morning//c you walked out of the door and never came back.
furniture-10008213,Cathedral Lost - Double Pillars with Vines
furniture-20008213,These two pillars have withstood the test of time and the profuse growth of vines attest to that. How I wish I could hold your hand and point them out to you right now.
furniture-10002055,Wine Bucket Stand
furniture-20002055,A chilling stand about the size of a small T-Doll. Not the best at keeping your drinks chilled//c but the lonely bottle of champagne waiting inside signifies a lively celebration in the near future. Don't forget to give it a shake before you pop it open. *Please keep away from 416's room*
furniture-10002056,Wedding Dress Display Cabinet
furniture-20002056,A wedding dress brought back from the mansion. It has been waiting for a long time//c but is happy to keep waiting...
furniture-10002057,Veiled Macaw
furniture-20002057,The macaw as a species was brought all over the world by colonizers. However//c due to over-hunting and the destruction of their habitats//c they now only exist in stories about pirates – like krakens. They are nothing more than some weird colorful birds that are capable of human speech.
furniture-10002058,Poster - 2020 Shattered Connexion
furniture-20002058,Special Poster of 2020 Winter Event - Shattered Connexion.
furniture-10002059,Poster - 2019 Freaky Pandemic
furniture-20002059,2019 Halloween Event - Special poster for Freaky Pandemic
furniture-10002060,Poster - 2019 A Snowy Night Capriccio
furniture-20002060,2019 Christmas Event - Special poster for A Snowy Night Capriccio
furniture-10002061,Poster - 2020偏振光
furniture-20002061,2020年冬季活动-偏振光的特典海报。
furniture-10002062,Poster - 2020 The Photo Studio Mystery
furniture-20002062,2020 White Day Event - Special poster for The Photo Studio Mystery
furniture-10007215,9A-91 Stuffed Toy (Surveillance Type)
furniture-20007215,The fluffy exterior hides a 360-degree camera. According to the Doll this gift was from//c it's made to better observe the Commander.
furniture-10007216,Tram of Happiness
furniture-20007216,This tram was abandoned on a certain lonely journey//c but people of the new age have turned it into an object that spreads joy and happiness. I hope one day the firearms we wield will become such things//c says a T-Doll.
furniture-10007217,Dating Crystal Ball
furniture-20007217,A facility originally designed for dating//c but most people are too embarrassed to enter it at the same time.
furniture-10008301,Midnight Revelry - Carpet from Milan
furniture-20008301,It's not just your feet that will feel relaxed//c but also your tense mind. Take off your shoes and socks. The satisfaction of stepping on this 1000% softness marks the beginning of a party.//n "If a tree falls in a forest//c it obviously makes a sound."
furniture-10008302,Midnight Revelry - Port in Winter
furniture-20008302,If there's something even more romantic than watching the cold winter night from the warm indoors//c then it must be watching it with your friends - we even make bets on which drop of dew is going to drip first.//n "Home is behind//c the world ahead."
furniture-10008303,Midnight Revelry - Secret Kingdom
furniture-20008303,Size isn't what matters when it comes to a private space. Even an area of three square inches is enough for stashing your deepest secrets - your dreams//c your joys and sadness.
furniture-10008304,Midnight Revelry - House of Friendship
furniture-20008304,Close up the tent and we're the only ones in the world. I have all the things I ever wanted in my life - a sense of security//c more sense of security//c and the sense of security I feel in your presence.
furniture-10008305,Midnight Revelry - Glowing Leaves
furniture-20008305,Sometimes there isn't much meaning to the existence of decorations. They are simply there as accessories of a party//c and when everything is over//c they're the only remaining proof that a joyous celebration has taken place here.//n "It's goodbye. But we look forward to the next crazy venture beneath the skies."
furniture-10008306,Midnight Revelry - Party Leftovers
furniture-20008306,Everyone loves a party//c but few appreciate when a party comes to an end. After the bustling excitement//c all that remains is a residual warmth//c which is actually a bigger and richer source of nostalgia.
furniture-10008307,Midnight Revelry - Couch Potato Heaven
furniture-20008307,Everyone expects me to fight for the future//c but all I want is to live my life in peace and quiet. My couch has prepared a surprise party for me; how could I stand it up?
furniture-10008308,Midnight Revelry - Frozen Moment
furniture-20008308,The best thing about a family theater is that we can watch whatever we want and stop whenever we want.//n "If you want a happy ending//c it depends on where you stop the story."
furniture-10008309,Midnight Revelry - Idle Afternoon
furniture-20008309,Almost everyone wants to do this sometimes - just sitting on the chair//c eyes closed//c mind blank//c doing nothing; not really sleeping//c not working either. Just like that. A simple kind of happiness.//n "We toil that we may rest//c and war that we may be at peace."
furniture-10008310,Midnight Revelry - Nobody Sleeps
furniture-20008310,The greatest thing about a pillow fight is that there is never a winner. It's also the only game where no one cares about winning or losing - though perhaps the person who sleeps through the whole thing IS the loser.//n "Life is so interesting. Especially when you think you're better than someone else."
furniture-10008311,Midnight Revelry - Plant of Latent Heat
furniture-20008311,I don't know if the plant is happy that we're laughing and having fun//c but I'm guessing it doesn't like noise. "Maybe some noise is exactly what it needs!"
furniture-10008312,Midnight Revelry - Plant of Supercooling
furniture-20008312,I don't know if the plant feels our joy and sadness//c but I'm guessing it doesn't like cheesy romance. "Maybe some cheesy romance is exactly what it needs!"
furniture-10008313,Midnight Revelry - Lazy Times
furniture-20008313,It is our right to find escape in a virtual world//c but it's is also our duty to fight in the real world so that we can enjoy our right.//n "Welcome to the real world. It sucks. You're gonna love it."
furniture-10008401,Theater of Splendor - Starlight Floor Tiles
furniture-20008401,The fact is//c as long as everything else is glamorous enough//c even floor tiles meant for a children's playground will be considered high-class custom-made décor.
furniture-10008402,Theater of Splendor - Mountain View at Night
furniture-20008402,When the lights go out one by one and the hubbub dies down//c the stars will come out from behind the neon lights and kiss the mountains within view.
furniture-10008403,Theater of Splendor - I.O.P Theater
furniture-20008403,Some people make drama out of war; we document war with drama. Which is more horrific – drama that glorifies war or war that rages like drama?//n "However//c we'll be showing the Daily Life of Sangvis Dolls today//c Commander..."
furniture-10008404,Theater of Splendor - Night Shopping Street
furniture-20008404,This place//c like your work//c will consume your body and soul and even cost you money//c so why don't you consider working overtime instead? As long as you have a job you like//c working is actually a more productive form of entertainment.
furniture-10008405,Theater of Splendor - Shopping Arcade
furniture-20008405,All the clothes sold here have a clear price tag to prove that the shop owner isn't as heinous as fate.
furniture-10008406,Theater of Splendor - Innovative Building
furniture-20008406,Merchants rack their brains to drain your last budget and empty your pockets...//n "Don't put it like that. Market demand is the driving force behind innovation!" says an I.O.P researcher.
furniture-10008407,Theater of Splendor - Event Signature Board
furniture-20008407,Cunning grown-ups invented this thing so that they can graffiti on the wall without getting told off.
furniture-10008408,Theater of Splendor - Y-Shaped Street Lamp
furniture-20008408,The street lamp is endowed with shiny golden eyes and a tall//c slender figure. It is even dressed in a scarlet evening gown... It looks so much prettier than human females//c so why don't people like it?//n "Because it isn't a destination that people seek but just a signpost."
furniture-10008409,Theater of Splendor - Sports Car Model
furniture-20008409,It doesn't matter if this is a real sports car or not. After all//c guests are only looking for a superficial display that fits their status.
furniture-10008410,Theater of Splendor - Plastic Palm Tree
furniture-20008410,Once the last plants have disappeared//c merchants have a reason to promote their own products by degrading real plants//c "Look//c plastic products are so much better! They can stand tall in cities and ruins alike//c forever fresh//c forever green."
furniture-10008411,Theater of Splendor - Composite Background
furniture-20008411,Don't be so hung up on authenticity. Who knows//c your whole world could be inside a massive film studio. They got the atmosphere right and that's all that matters//c don't you think?
furniture-10008412,Theater of Splendor - Road to Success
furniture-20008412,People trample over one another to walk on the red carpet//c pretending to be famous film stars. They're no different than the truants who thought they could be top of the class just because they did something.
furniture-10008413,Theater of Splendor - Passers-by and Journalists
furniture-20008413,Can you make the flash any brighter? "Make more noise!" Your colleagues are putting a lot of effort into creating this illusion of grandeur.
furniture-10002063,Retro Projector
furniture-20002063,Nowadays//c with our advanced technology//c the projector has become a romantic toy to the retro enthusiasts. Some believe tapes are more reliable than cloud data and even the human brain//c or maybe there's just something special about what can only be recorded once - the same goes for time.
furniture-10002064,Ephemeral Memories
furniture-20002064,It is apparently an image captured during a Griffin party//c but the Dolls have no memory of this. Did such a perfect encounter really happen? We can't go back in time and the truth will remain hidden forever. All that's left is this picture of unknown authenticity.
furniture-10002065,Decorative Dinergate
furniture-20002065,A Dinergate who's been given a paint job by a certain Doll with a peculiar hobby. It enjoys leaning against the fence and watching people walking past. Perhaps to it//c we're the decorative ones.
furniture-10051801,Sticker of Good Fortune
furniture-20051801,A sticker that bears the Dolls' well-wishing. Someone stuck it on the Commander's door.
furniture-10051802,Space Chair
furniture-20051802,This is a miraculous chair. Just sit on it//c relax//c close your eyes and count to five//c then everything will change...
furniture-10008501,Lilliput Forest - Grassland of Time
furniture-20008501,A seemingly ordinary patch of grass that actually hides a lot of secrets - sour wood osrrels//c dwarf lilyturf bearing round//c juicy fruits//c and strong-limbed grasshoppers...
furniture-10008502,Lilliput Forest - Forgotten Woods
furniture-20008502,Grown-ups who tarry in these woods will gradually lose their memories - they will forget everything from their adulthood. Even those who kept claiming//c "It's just the Tyndall effect!" will end up saying//c "I'm catching sunlight that has passed through the leaves in my hands."
furniture-10008503,Lilliput Forest - Teapot Boat
furniture-20008503,A lid-less teapot is drifting on a shallow pond. It is filled with summer cricket-song like a tiny leaf boat.
furniture-10008504,Lilliput Forest - Honey Jars of Somniloquy
furniture-20008504,Every drop of honey envelops an amber-colored dream. If you're curious about these dreams//c then listen closely to the soft somniloquy.
furniture-10008505,Lilliput Forest - Chinquapin Tree House
furniture-20008505,No ordinary grown-up can live here. The resident has to counter these sneaky mushrooms and defend against the naughty rascals who keep trying to climb in through the roof.
furniture-10008506,Lilliput Forest - Mole Burrow
furniture-20008506,A pair of eyes are glimmering in the darkness of the burrow entrance hidden just behind the raspberry bush. Don't be afraid//c it's just a mole looking forward to some children's visit.
furniture-10008507,Lilliput Forest - Perfect Hiding Spot
furniture-20008507,To children//c even the most ordinary rock can mean a lot. For example//c this particular rock is the last lifeline when "It" is hot on your heels during an intense game of hide-and-seek.
furniture-10008508,Lilliput Forest - See-Saw Tree Bench
furniture-20008508,To a child//c it is the most silent and steadfast listener. To two children//c it is the merriest see-saw. Too more than two children//c it is the adjudicator of who wins a fight.
furniture-10008509,Lilliput Forest - Woven Vines
furniture-20008509,To prevent children from breaking vines and crash-landing into his house//c the owner wove very strong vines into a net and hung it on the branches//c but that only served to attract even more little bravehearts...
furniture-10008510,Lilliput Forest - Playing House Hotspot
furniture-20008510,The random bits and bobs scavenged from different homes await their fate quietly while the boisterous children are busy deciding on their final verdict.
furniture-10008511,Lilliput Forest - Mushroom Wonderland
furniture-20008511,Haha//c those little devils are finally gone! "We can now play our own games!" "Oh crap//c the little devils are back again!" "Hush... Don't move! Pretend we're just simple mushrooms!"
furniture-10008512,Lilliput Forest - Fluttering Butterflies
furniture-20008512,Several butterflies are dancing in the fragrance of flowers. I can't tell if we've intruded upon the butterflies' dream//c or vice versa.
furniture-10008513,Lilliput Forest - Kiddie's Little Table
furniture-20008513,This isn't just a flower pot; it's a prison for incarcerating peas. Gosh//c these grown-ups always need us to spell everything out for them to understand what the world is like.
furniture-10007218,IIDW
furniture-20007218,Some Dolls enjoy playing on this machine a lot. When you press a key and music comes out//c it feels as if a tiny shoot is budding through the soil at the site of an old explosion//c smiling at the sky. 
furniture-10007219,Singing Weapon
furniture-20007219,It dreams of itself singing as it travels over the hills and plains. In its dream//c it doesn't see obstacles being torn to pieces.
furniture-10002069,Sovereign of the Beach
