achievement-10000001,A Little Interest
achievement-10000809,Herding Dogs by the Pasture
achievement-20000809,Complete 200 Coalition Unit Standard Captures.
achievement-30000809,
achievement-10000810,Chasing Eagles at the Cliffside
achievement-20000810,Complete 400 Coalition Unit Standard Captures.
achievement-30000810,
achievement-10000811,Stalking Tigers in the Forest
achievement-20000811,Complete 800 Coalition Unit Standard Captures.
achievement-30000811,
achievement-10000812,Harrying Elephants in the Wilderness
achievement-20000812,Complete 1500 Coalition Unit Standard Captures.
achievement-30000812,
achievement-10000813,Hunting Whales in the Depths
achievement-20000813,Complete 3000 Coalition Unit Standard Captures.
achievement-30000813,
achievement-10000814,Seeking Butterflies in Evanescent Dreams
achievement-20000814,Complete 5000 Coalition Unit Standard Captures.
achievement-30000814,
achievement-10000815,Flyswatter
achievement-20000815,Perform 5 Coalition Unit Aided Captures.
achievement-30000815,
achievement-10000816,Roach Motel
achievement-20000816,Perform 20 Coalition Unit Aided Captures.
achievement-30000816,
achievement-10000817,Bug-Catching Net
achievement-20000817,Perform 50 Coalition Unit Aided Captures.
achievement-30000817,
achievement-10000818,Fish Hook
achievement-20000818,Perform 100 Coalition Unit Aided Captures.
achievement-30000818,
achievement-10000819,Bird Cage
achievement-20000819,Perform 500 Coalition Unit Aided Captures.
achievement-30000819,
achievement-10000820,Falcon Taming Wine
achievement-20000820,Perform 1000 Coalition Unit Aided Captures.
achievement-30000820,
achievement-10000821,Sheep Enclosure
achievement-20000821,Perform 2000 Coalition Unit Aided Captures.
achievement-30000821,
achievement-10000822,Horse Spancel
achievement-20000822,Perform 4000 Coalition Unit Aided Captures.
achievement-30000822,
achievement-10000823,Tiger-Beating Club
achievement-20000823,Perform 6000 Coalition Unit Aided Captures.
achievement-30000823,
achievement-10000824,Dragon-Slaying Blade
achievement-20000824,Perform 10000 Coalition Unit Aided Captures.
achievement-30000824,
achievement-10000825,Newbie Collector
achievement-20000825,Unlock 10 different enemies in the Gallery.
achievement-30000825,
achievement-10000826,Novice Collector
achievement-20000826,Unlock 20 different enemies in the Gallery.
achievement-30000826,
achievement-10000827,Adept Collector
achievement-20000827,Unlock 30 different enemies in the Gallery.
achievement-30000827,
achievement-10000828,Elite Collector
achievement-20000828,Unlock 40 different enemies in the Gallery.
achievement-30000828,
achievement-10000829,Veteran Collector
achievement-20000829,Unlock 50 different enemies in the Gallery.
achievement-30000829,
achievement-10000830,Master Collector
achievement-20000830,Unlock 60 different enemies in the Gallery.
achievement-30000830,
achievement-10000831,Grandmaster Collector
achievement-20000831,Unlock 70 different enemies in the Gallery.
achievement-30000831,
achievement-10000832,Book of Friends: Gongbi
achievement-20000832,Unlock 10 capturable Coalition Units.
achievement-30000832,
achievement-10000833,Book of Friends: Woodcut Print
achievement-20000833,Unlock 20 capturable Coalition Units.
achievement-30000833,
achievement-10000834,Book of Friends: Clumsy
achievement-20000834,Unlock 30 capturable Coalition Units.
achievement-30000834,
achievement-10000835,Book of Friends: Conveyance
achievement-20000835,Unlock 40 capturable Coalition Units.
achievement-30000835,
achievement-10000836,Book of Friends: Great Work
achievement-20000836,Unlock 50 capturable Coalition Units.
achievement-30000836,
achievement-10000837,Book of Friends: Leaving Blanks
achievement-20000837,Unlock 60 capturable Coalition Units.
achievement-30000837,
achievement-10000838,Book of Friends: Finishing Touch
achievement-20000838,Unlock 70 capturable Coalition Units.
achievement-30000838,
achievement-10000839,Golem Alchemist: First-Timer
achievement-20000839,Collect an XL Coalition Unit for the first time.
achievement-30000839,
achievement-10000840,Golem Alchemist: Beginner
achievement-20000840,Collect 10 XL Coalition Units.
achievement-30000840,
achievement-10000841,Golem Alchemist: Novice
achievement-20000841,Collect 20 XL Coalition Units.
achievement-30000841,
achievement-10000842,Golem Alchemist: Experienced
achievement-20000842,Collect 30 XL Coalition Units.
achievement-30000842,
achievement-10000843,Golem Alchemist: Practiced
achievement-20000843,Collect 40 XL Coalition Units.
achievement-30000843,
achievement-10000844,Golem Alchemist: Natural
achievement-20000844,Collect 50 XL Coalition Units.
achievement-30000844,
achievement-10000845,Golem Alchemist: Elite
achievement-20000845,Collect 60 XL Coalition Units.
achievement-30000845,
achievement-10000846,Golem Alchemist: Master
achievement-20000846,Collect 80 XL Coalition Units.
achievement-30000846,
achievement-10000847,Golem Alchemist: Grandmaster
achievement-20000847,Collect 100 XL Coalition Units.
achievement-30000847,
achievement-10000848,Golem Alchemist: Legend
achievement-20000848,Collect 120 XL Coalition Units.
achievement-30000848,
achievement-10000849,Gnome Gatekeeper
achievement-20000849,Collect the smallest Coalition Units for the first time.
achievement-30000849,
achievement-10000850,Gnome Pioneer
achievement-20000850,Collect 10 XS Coalition Units.
achievement-30000850,
achievement-10000851,Gnome Captain
achievement-20000851,Collect 20 XS Coalition Units.
achievement-30000851,
achievement-10000852,Gnome Squadron Leader
achievement-20000852,Collect 30 XS Coalition Units.
achievement-30000852,
achievement-10000853,Gnome Battalion Commander
achievement-20000853,Collect 40 XS Coalition Units.
achievement-30000853,
achievement-10000854,Gnome General
achievement-20000854,Collect 50 XS Coalition Units.
achievement-30000854,
achievement-10000855,Gnome Marshal
achievement-20000855,Collect 60 XS Coalition Units.
achievement-30000855,
achievement-10000856,Gnome Lord
achievement-20000856,Collect 80 XS Coalition Units.
achievement-30000856,
achievement-10000857,Gnome Consul
achievement-20000857,Collect 100 XS Coalition Units.
achievement-30000857,
achievement-10000858,King of Gnomes
achievement-20000858,Collect 120 XS Coalition Units.
achievement-30000858,
achievement-10000859,A Certain Scientific Super Doll
achievement-20000859,Raise a Coalition Unit to max level for the first time.
achievement-30000859,
achievement-10000860,Bullet Dream
achievement-20000860,Raise a total of 10 Coalition Units to max level.
achievement-30000860,
achievement-10000861,Griffin Neo-Human
achievement-20000861,Raise a total of 20 Coalition Units to max level.
achievement-30000861,
achievement-10000862,The Right Researcher
achievement-20000862,Raise a total of 30 Coalition Units to max level.
achievement-30000862,
achievement-10000863,40 Marionettes in the Darkness
achievement-20000863,Raise a total of 40 Coalition Units to max level.
achievement-30000863,
achievement-10000864,Heartbeatless Angel
achievement-20000864,Raise a total of 50 Coalition Units to max level.
achievement-30000864,
achievement-10000865,Love//c Death and Robots
achievement-20000865,Raise a total of 60 Coalition Units to max level.
achievement-30000865,
achievement-10000866,Black Mirror
achievement-20000866,Raise a total of 80 Coalition Units to max level.
achievement-30000866,
achievement-10000867,100% Prosthetic
achievement-20000867,Raise a total of 100 Coalition Units to max level.
achievement-30000867,
achievement-10000868,Wings of Peace
achievement-20000868,Raise a total of 120 Coalition Units to max level.
achievement-30000868,
achievement-10000869,Data Exchange
achievement-20000869,Raise Coalition Unit to max stars for the first time.
achievement-30000869,
achievement-10000870,Blue No. 10
achievement-20000870,Raise a total of 10 Coalition Units to max stars.
achievement-30000870,
achievement-10000871,The World and Tomorrow
achievement-20000871,Raise a total of 20 Coalition Units to max stars.
achievement-30000871,
achievement-10000872,Secret of Blue Water
achievement-20000872,Raise a total of 30 Coalition Units to max stars.
achievement-30000872,
achievement-10000873,Marionette Angel
achievement-20000873,Raise a total of 40 Coalition Units to max stars.
achievement-30000873,
achievement-10000874,Demihuman's Hand
achievement-20000874,Raise a total of 50 Coalition Units to max stars.
achievement-30000874,
achievement-10000875,A Clockwork Orange
achievement-20000875,Raise a total of 60 Coalition Units to max stars.
achievement-30000875,
achievement-10000876,Massacre Organ
achievement-20000876,Raise a total of 80 Coalition Units to max stars.
achievement-30000876,
achievement-10000877,Dash Till Tomorrow
achievement-20000877,Raise a total of 100 Coalition Units to max stars.
achievement-30000877,
achievement-10000878,Limit Breaker
achievement-20000878,Raise a total of 120 Coalition Units to max stars.
achievement-30000878,
achievement-10000879,From the New World
achievement-20000879,Perform Peak Value Analysis on a Coalition Unit for the first time.
achievement-30000879,
achievement-10000880,Heaven's Memo Pad
achievement-20000880,Perform a total of 5 Peak Value Analyses on Coalition Units.
achievement-30000880,
achievement-10000881,ARQ
achievement-20000881,Perform a total of 10 Peak Value Analyses on Coalition Units.
achievement-30000881,
achievement-10000882,New Era Koushiro
achievement-20000882,Perform a total of 30 Peak Value Analyses on Coalition Units.
achievement-30000882,
achievement-10000883,Father of the Part-Time Warrior
achievement-20000883,Perform a total of 60 Peak Value Analyses on Coalition Units.
achievement-30000883,
achievement-10000884,War of the 100th Planet
achievement-20000884,Perform a total of 100 Peak Value Analyses on Coalition Units.
achievement-30000884,
achievement-10000885,Grinding in the Parallel World Rhapsody
achievement-20000885,Perform a total of 200 Peak Value Analyses on Coalition Units.
achievement-30000885,
achievement-10000886,Busou Renkin
achievement-20000886,Perform a total of 300 Peak Value Analyses on Coalition Units.
achievement-30000886,
achievement-10000887,Shinrironpa
achievement-20000887,Perform a total of 400 Peak Value Analyses on Coalition Units.
achievement-30000887,
achievement-10000888,Western Spirits
achievement-20000888,Perform a total of 500 Peak Value Analyses on Coalition Units.
achievement-30000888,
achievement-10000889,Initial Embrace
achievement-20000889,Perform a Cognitive Infusion on a Coalition Unit for the first time.
achievement-30000889,
achievement-10000890,First Handholding
achievement-20000890,Perform a total of 10 Cognitive Infusions on Coalition Units.
achievement-30000890,
achievement-10000891,Second Interaction
achievement-20000891,Perform a total of 20 Cognitive Infusions on Coalition Units.
achievement-30000891,
achievement-10000892,The Next Three Days
achievement-20000892,Perform a total of 30 Cognitive Infusions on Coalition Units.
achievement-30000892,
achievement-10000893,Your Lie In April
achievement-20000893,Perform a total of 40 Cognitive Infusions on Coalition Units.
achievement-30000893,
achievement-10000894,Fifth Night Wandering
achievement-20000894,Perform a total of 50 Cognitive Infusions on Coalition Units.
achievement-30000894,
achievement-10000895,Sixth Encounter
achievement-20000895,Perform a total of 60 Cognitive Infusions on Coalition Units.
achievement-30000895,
achievement-10000896,Eight-Sided Connection
achievement-20000896,Perform a total of 80 Cognitive Infusions on Coalition Units.
achievement-30000896,
achievement-10000897,Hundred-Year Rose
achievement-20000897,Perform a total of 100 Cognitive Infusions on Coalition Units.
achievement-30000897,
achievement-10000898,The Instrumentality Project
achievement-20000898,Perform a total of 120 Cognitive Infusions on Coalition Units.
achievement-30000898,
achievement-10000899,The First to Bid War Farewell
achievement-20000899,Dismantle 1 Coalition Unit.
achievement-30000899,
achievement-10000900,The 10th Plume of Smoke from the Village
achievement-20000900,Dismantle 10 Coalition Units.
achievement-30000900,
achievement-10000901,Memorial for 100 Years of Peace
achievement-20000901,Dismantle 100 Coalition Units.
achievement-30000901,
achievement-10000902,A Feast for 500
achievement-20000902,Dismantle 500 Coalition Units.
achievement-30000902,
achievement-10000903,The 1000th Dove of Peace
achievement-20000903,Dismantle 1000 Coalition Units.
achievement-30000903,
achievement-10000904,To the You of 5000 Years Ago
achievement-20000904,Dismantle 5000 Coalition Units.
achievement-30000904,
achievement-10000905,The Song of 10000
achievement-20000905,Dismantle 10000 Coalition Units.
achievement-30000905,
achievement-10000906,20000 Anti-War Declarations
achievement-20000906,Dismantle 20000 Coalition Units.
achievement-30000906,
achievement-10000907,50000 True Hearts
achievement-20000907,Dismantle 50000 Coalition Units.
achievement-30000907,
achievement-10000908,Fossil of the New Civilization
achievement-20000908,Dismantle 100000 Coalition Units.
achievement-30000908,
achievement-10000909,Starting in a New Field
achievement-20000909,Perform Skill Training on a Coalition Unit for the first time.
achievement-30000909,
achievement-10000910,Hard Work and Practice
achievement-20000910,Perform a total of 10 Skill Trainings for Coalition Units.
achievement-30000910,
achievement-10000911,Little Gains
achievement-20000911,Perform a total of 50 Skill Trainings for Coalition Units.
achievement-30000911,
achievement-10000912,Hundredfold Honing
achievement-20000912,Perform a total of 100 Skill Trainings for Coalition Units.
achievement-30000912,
achievement-10000913,Thesis Writing
achievement-20000913,Perform a total of 500 Skill Trainings for Coalition Units.
achievement-30000913,
achievement-10000914,Skill Pointers
achievement-20000914,Perform a total of 1000 Skill Trainings for Coalition Units.
achievement-30000914,
achievement-10000915,Scales of Law
achievement-20000915,Perform a total of 2000 Skill Trainings for Coalition Units.
achievement-30000915,
achievement-10000916,The Fruits of Labor
achievement-20000916,Perform a total of 5000 Skill Trainings for Coalition Units.
achievement-30000916,
achievement-10000917,Fight Makes Right
achievement-20000917,Perform a total of 10000 Skill Trainings for Coalition Units.
achievement-30000917,
achievement-10000918,A Return To Simplicity
achievement-20000918,Perform a total of 20000 Skill Trainings for Coalition Units.
achievement-30000918,
achievement-10000919,Perfect Infiltration: Polarized Light
achievement-20000919,Polarized Light - Challenge III: Do not engage in any battles during the misison.
achievement-30000919,
achievement-10000920,Stranger No.11
achievement-20000920,Open 11th Dormitory.
achievement-30000920,
achievement-10000921,12th Neighbor
achievement-20000921,Open 12th Dormitory
achievement-30000921,
achievement-10000922,13th Polar Night
achievement-20000922,Open 13th Dormitory
achievement-30000922,
achievement-10000923,14th Labyrinth
achievement-20000923,Open 14th Dormitory.
achievement-30000923,
achievement-10000925,
achievement-20000925,
achievement-30000925,
achievement-10000926,
achievement-20000926,
achievement-30000926,
achievement-10000927,
achievement-20000927,
achievement-30000927,
achievement-10000928,
achievement-20000928,
achievement-30000928,
achievement-10000929,
achievement-20000929,
achievement-30000929,
achievement-10000930,
achievement-20000930,
achievement-30000930,
achievement-10000931,
achievement-20000931,
achievement-30000931,
achievement-10000932,
achievement-20000932,
achievement-30000932,
achievement-10000933,
achievement-20000933,
achievement-30000933,
achievement-10000934,
achievement-20000934,
achievement-30000934,
achievement-10000935,
achievement-20000935,
achievement-30000935,
achievement-10000936,
achievement-20000936,
achievement-30000936,
achievement-10000937,
achievement-20000937,
achievement-30000937,
achievement-10000938,
achievement-20000938,
achievement-30000938,
achievement-10000939,
achievement-20000939,
achievement-30000939,
achievement-10000940,
achievement-20000940,
achievement-30000940,
achievement-10000941,
achievement-20000941,
achievement-30000941,
achievement-10000942,
achievement-20000942,
achievement-30000942,
achievement-10000943,
achievement-20000943,
achievement-30000943,
achievement-10000944,
achievement-20000944,
achievement-30000944,
achievement-10000945,
achievement-20000945,
achievement-30000945,
achievement-10000946,
achievement-20000946,
achievement-30000946,
